codiabs,nom,casos des de l'1 juny,casos ultims 14 dies,homes(des de juny),dones(des de juny),poblacio,casos/100000 total,casos/100000 ultims 14 dies,
129,La Granadella,22.00,1.00,12.00,10.00,2400.00,916.70,41.70,
120,Flix,88.00,2.00,44.00,44.00,7349.00,1197.40,27.20,
165,Móra la Nova-Móra d'Ebre,120.00,30.00,57.00,63.00,14035.00,855.00,213.80,
163,Mont-roig del Camp,93.00,23.00,42.00,51.00,13029.00,713.80,176.50,
118,Falset,161.00,92.00,60.00,101.00,6620.00,2432.00,1389.70,
14,Balaguer,935.00,50.00,458.00,477.00,28076.00,3330.20,178.10,
12,Artesa de Segre,45.00,3.00,25.00,20.00,4041.00,1113.60,74.20,
339,Salou,290.00,57.00,162.00,128.00,26647.00,1088.30,213.90,
91,Cambrils,198.00,61.00,94.00,104.00,34032.00,581.80,179.20,
353,Vilassar de Dalt,111.00,21.00,63.00,48.00,16024.00,692.70,131.10,
362,Ocata-Teià,140.00,25.00,68.00,72.00,14745.00,949.50,169.50,
361,"Masnou, el-Alella",192.00,29.00,97.00,95.00,24050.00,798.30,120.60,
319,Montgat,189.00,22.00,100.00,89.00,20045.00,942.90,109.80,
150,Martorelles,122.00,26.00,55.00,67.00,14274.00,854.70,182.10,
144,Manlleu,406.00,147.00,196.00,210.00,20938.00,1939.10,702.10,
300,La Llagosta,266.00,34.00,132.00,134.00,13882.00,1916.20,244.90,
230,Santa Perpètua de Mogoda,268.00,38.00,142.00,126.00,25445.00,1053.30,149.30,
392,Polinyà-Sentmenat,147.00,16.00,74.00,73.00,17143.00,857.50,93.30,
359,Cubelles-Cunit,235.00,89.00,101.00,134.00,27448.00,856.20,324.20,
13,El Vendrell,332.00,45.00,156.00,176.00,47252.00,702.60,95.20,
357,Calafell,201.00,91.00,78.00,123.00,24989.00,804.40,364.20,
